epoch_num,learning_rate,hidden_size,loss_test,loss_train
10,0.001,[2],0.33051595836877823,0.29920432659295887
10,0.001,"[2, 2, 2]",0.5335089191794395,0.38563719850320083
10,0.001,"[2, 2, 2, 2, 2, 2]",0.203842306509614,0.15558140266400117
10,0.001,[6],0.18007393181324005,0.11578079771537048
10,0.001,[12],0.19482406601309776,0.1070097083082566
20,0.001,[2],0.13485343009233475,0.08262164747485748
20,0.001,"[2, 2, 2]",0.7560750395059586,0.6418951153755188
20,0.001,"[2, 2, 2, 2, 2, 2]",0.23074691742658615,0.15059267213711372
20,0.001,[6],0.12069710437208414,0.07519019366456912
20,0.001,[12],0.10215273406356573,0.05320853166855299
30,0.001,[2],0.13932841084897518,0.07910990027280954
30,0.001,"[2, 2, 2]",0.20694275945425034,0.1599745756158462
30,0.001,"[2, 2, 2, 2, 2, 2]",0.34708383679389954,0.2618213662734398
30,0.001,[6],0.09791078977286816,0.056569194564452537
30,0.001,[12],0.07544115092605352,0.042102632471002065
40,0.001,[2],0.11195391742512584,0.09367911288371453
40,0.001,"[2, 2, 2]",0.2355859875679016,0.1510112973359915
40,0.001,"[2, 2, 2, 2, 2, 2]",0.36022868007421494,0.27267170869387114
40,0.001,[6],0.07549634482711554,0.05389863496216444
40,0.001,[12],0.06927257077768445,0.04654614269160307
50,0.001,[2],0.17705506458878517,0.09251686930656433
50,0.001,"[2, 2, 2]",0.1367429867386818,0.08884972978669864
50,0.001,"[2, 2, 2, 2, 2, 2]",0.34524452313780785,0.15329974947067407
50,0.001,[6],0.06611425383016467,0.04553617164492607
50,0.001,[12],0.07485144771635532,0.03661790733727125
60,0.001,[2],0.22738654166460037,0.15289959999231192
60,0.001,"[2, 2, 2]",0.25511692836880684,0.1504224899869699
60,0.001,"[2, 2, 2, 2, 2, 2]",0.21531329676508904,0.1545372697023245
60,0.001,[6],0.05310608074069023,0.03879474447323726
60,0.001,[12],0.07356851920485497,0.03838411747263028
70,0.001,[2],0.13365492969751358,0.08946016115637925
70,0.001,"[2, 2, 2]",0.0706946924328804,0.04684658219607977
70,0.001,"[2, 2, 2, 2, 2, 2]",0.21236220747232437,0.1518364938405844
70,0.001,[6],0.07561413943767548,0.03912515150239834
70,0.001,[12],0.04397804057225585,0.03172226608372652
80,0.001,[2],0.07029866985976696,0.04531647379581745
80,0.001,"[2, 2, 2]",0.20746590942144394,0.1534900785638736
80,0.001,"[2, 2, 2, 2, 2, 2]",0.24633236974477768,0.15510227989691955
80,0.001,[6],0.0501718083396554,0.033871704497589514
80,0.001,[12],0.044712893199175596,0.03182164379037344
90,0.001,[2],0.2402283474802971,0.15414971457077906
90,0.001,"[2, 2, 2]",0.20952517911791801,0.15285906081016248
90,0.001,"[2, 2, 2, 2, 2, 2]",0.3116057477891445,0.15506523102521896
90,0.001,[6],0.08185977209359407,0.04685993120074272
90,0.001,[12],0.04650233779102564,0.031684025119130425
100,0.001,[2],0.07910147495567799,0.04499184712767601
100,0.001,"[2, 2, 2]",0.051935938419774175,0.041171201289846346
100,0.001,"[2, 2, 2, 2, 2, 2]",0.24086157232522964,0.1506237840423217
100,0.001,[6],0.05213725380599499,0.034911688417196274
100,0.001,[12],0.0406989473849535,0.031598834320902824
110,0.001,[2],0.08261705655604601,0.050558206983483754
110,0.001,"[2, 2, 2]",0.2017837017774582,0.15015028359798285
110,0.001,"[2, 2, 2, 2, 2, 2]",0.26029811799526215,0.1534325354374372
110,0.001,[6],0.05239068157970905,0.036401734400827154
110,0.001,[12],0.03691142750903964,0.028907795293399922
120,0.001,[2],0.05192960146814585,0.03334643878042698
120,0.001,"[2, 2, 2]",0.23120922967791557,0.15150469426925367
120,0.001,"[2, 2, 2, 2, 2, 2]",0.21217505261301994,0.15224910642092043
120,0.001,[6],0.03556628059595823,0.02893064500620732
120,0.001,[12],0.04184368159621954,0.02917167401084533
130,0.001,[2],0.07163191679865122,0.04685722563702326
130,0.001,"[2, 2, 2]",0.1993713565170765,0.1518111670246491
130,0.001,"[2, 2, 2, 2, 2, 2]",0.2542789801955223,0.15547288553072855
130,0.001,[6],0.04069172078743577,0.030749989530214898
130,0.001,[12],0.036483942065387964,0.02924781758338213
