generation_index,ensemble_size,learning_rate,loss_test,average_active_hidden_node_num,diversity_coefficient_test,population_diversity_test,max_population_diversity_test,correlation_penalty_coefficient_test,subpopulation_num,average_niche_radius,average_sharing_factor,average_raw_fitness,average_adjusted_fitness
0,50,0.001,1.4470089673995972,0.0,1.3601802587509155,0.0,0.0,0.9,1,0.4451259274455065,0.0,-3.369786822795868,-3.369786822795868
10,50,0.001,0.34742337465286255,0.04,0.06826843321323395,0.47212028685215673,3.624358766500329,0.795789502691416,4,0.3878357150181214,3.626282463592234,-0.4537880510091782,-0.3849895921956385
20,50,0.001,0.33994773030281067,0.0,0.04464733973145485,0.09013302465825149,3.624358766500329,0.8801050546118461,2,0.32130190605551684,5.735242115131076,-0.3317770576477051,-0.19237792873166842
30,50,0.001,0.3680603504180908,0.0,0.11780989170074463,0.2024381920856563,3.624358766500329,0.8553160809670881,2,0.3019558398108603,6.362529732567849,-0.3601246964931488,-0.27928617559005864
40,50,0.001,0.3834759294986725,0.0,0.16555802524089813,0.15371680906170349,3.624358766500329,0.8660702885194488,2,0.33739388428046124,4.970421265471318,-0.38178729683160784,-0.34640591936609866
50,50,0.001,0.43315356969833374,0.0,0.17166878283023834,0.24025600571106984,3.624358766500329,0.8469686041168468,2,0.30973616416417765,6.696747955715547,-0.4073675426840782,-0.38323583940798966
60,50,0.001,0.30308252573013306,0.0,0.033334504812955856,0.0,3.624358766500329,0.9,2,0.2817150674851835,6.128485363388003,-0.33293616771698,-0.21117687799272608
70,50,0.001,0.3739349842071533,0.0,0.20754475891590118,0.029579636097897797,3.624358766500329,0.8934709253683604,2,0.26892172081386506,7.353622564222312,-0.3215618595480919,-0.19393603728568004
80,50,0.001,0.3668777644634247,0.0,0.07858970016241074,0.15337550755702814,3.624358766500329,0.8661456235569909,2,0.2757679939104895,6.64986436846218,-0.3329470783472061,-0.17136320917055417
90,50,0.001,0.377187043428421,0.0,0.09602979570627213,0.14884220487664238,3.624358766500329,0.8671462535657608,2,0.32723720397746275,5.471914615227201,-0.41061055928468704,-0.39398200760328916
100,50,0.001,0.35000547766685486,0.0,0.12636205554008484,0.24158253921480077,3.624358766500329,0.8466758001006458,2,0.3552813372148211,4.3844023123603435,-0.3873447060585022,-0.33293813898233277
110,50,0.001,0.3221115171909332,0.0,0.0664011612534523,0.11786967575589581,3.624358766500329,0.8739827796640098,2,0.3123499863950124,7.533298588220797,-0.3272600170969963,-0.22997858321270853
120,50,0.001,0.32558298110961914,0.0,0.04527825862169266,0.09184318374667064,3.624358766500329,0.8797275734189297,2,0.28952763416813526,5.819545721443173,-0.3231274500489235,-0.6141468407854827
130,50,0.001,0.313789039850235,0.0,0.036115992814302444,0.07128861295602842,3.624358766500329,0.884264557115053,2,0.3050724111037336,4.28029063288752,-0.31555879056453706,-0.970255838730308
140,50,0.001,0.2860206067562103,0.0,0.0,0.0,3.624358766500329,0.9,2,0.26985853405505866,6.249912227981756,-0.29517738580703734,-0.1907707916743391
150,50,0.001,0.33089378476142883,0.0,0.11540252715349197,0.18365213739891473,3.624358766500329,0.8594627024021138,2,0.263538039651996,6.219308298802408,-0.3086418116092682,-0.23861341950325965
160,50,0.001,0.3201766014099121,0.0,0.09540027379989624,0.024654483266839576,3.624358766500329,0.8945580479516059,2,0.2490352106647509,6.301435523718523,-0.320845530629158,-0.20360714127409404
170,50,0.001,0.3148629069328308,0.0,0.03476017341017723,0.058488388506251814,3.624358766500329,0.8870899340215752,2,0.2866264526843115,4.093852172653217,-0.27616157740354536,-0.44462346901367866
