ensemble_size,epoch_num,learning_rate,average_loss_train_traditional,average_loss_test_traditional,average_loss_train_mlp,average_loss_test_mlp,average_individual_loss_train_traditional,average_individual_loss_test_traditional,diversity_coefficient_train_traditional,diversity_coefficient_test_traditional
2,50,0.0005,0.10829977490580998,0.15740053355693817,0.12998643144965172,0.18887636438012123,0.11244486272335052,0.16195887327194214,0.004163848236203194,0.0046192342415452
2,50,0.001,0.07697890928158393,0.10838626325130463,0.07855754173718967,0.11332587711513042,0.07893646508455276,0.11071161180734634,0.001962619833648205,0.002329236827790737
2,50,0.0015,0.05786663838304006,0.09769257158041,0.08038932600846657,0.10199347510933876,0.062267765402793884,0.10412214696407318,0.004401668906211853,0.006279392167925835
2,50,0.002,0.05918284964102965,0.08047401672229171,0.0774474239979799,0.12065175641328096,0.06087423115968704,0.08235190808773041,0.0016755752731114626,0.002063717693090439
2,100,0.0005,0.08753511882745303,0.145487692207098,0.1072271540760994,0.1648056749254465,0.08954650908708572,0.1478104442358017,0.002022686181589961,0.002061468083411455
2,100,0.001,0.04467997270134779,0.0864251796156168,0.10415834503678176,0.11099472641944885,0.045642394572496414,0.0879385769367218,0.0009679931681603193,0.0012515309499576688
2,100,0.0015,0.049140628427267075,0.0720846839249134,0.07604789963135353,0.0807989202439785,0.05079853907227516,0.07564345002174377,0.0016130602452903986,0.003612378379330039
2,100,0.002,0.05283260073226232,0.07230082433670759,0.08782057320842376,0.06455342925619334,0.05422525107860565,0.07440188527107239,0.0013871060218662024,0.0023981095291674137
2,150,0.0005,0.05530926098044102,0.07785987202078104,0.08523235498712613,0.11169375851750374,0.05629858747124672,0.07906681299209595,0.0009623951045796275,0.0012523479526862502
2,150,0.001,0.04952910384879662,0.06544265290722251,0.06598028511955188,0.06812338158488274,0.050945915281772614,0.06682887673377991,0.001410817145369947,0.0016195833450183272
2,150,0.0015,0.04157933005346702,0.05304333963431418,0.0722598977960073,0.06225917348638177,0.04265519231557846,0.05435679852962494,0.0010709614725783467,0.0014338260516524315
2,150,0.002,0.052088544345819034,0.07000934518873692,0.07334438238579494,0.09355431981384754,0.054575156420469284,0.0726190134882927,0.002530209021642804,0.002968838205561042
2,200,0.0005,0.05418049099926765,0.11969919130206108,0.073997701303317,0.0712042860686779,0.056135326623916626,0.12195693701505661,0.0019604158587753773,0.002530906116589904
2,200,0.001,0.045806683313388094,0.10790052451193333,0.06600894320469636,0.08110623806715012,0.0481145903468132,0.1126207783818245,0.002330881543457508,0.0050095668993890285
2,200,0.0015,0.04258469922038225,0.05350353242829442,0.06419067056133197,0.0552431121468544,0.0440463051199913,0.05531452223658562,0.0014653041725978255,0.0020799327176064253
2,200,0.002,0.04741807024066265,0.11685643624514341,0.055793358729435846,0.03969550784677267,0.049868497997522354,0.11991559714078903,0.0024689550045877695,0.002919789869338274
2,250,0.0005,0.04901906418112608,0.0814370596781373,0.06220856380577271,0.06164450943470001,0.05041532963514328,0.08354751020669937,0.001411385484971106,0.001767120324075222
2,250,0.001,0.045789686748041555,0.05984299490228295,0.10402811118043385,0.1297949180006981,0.04636518657207489,0.06054510921239853,0.0005752590950578451,0.0007113435422070324
2,250,0.0015,0.045496231446472496,0.06600149068981409,0.06726597593380855,0.056869663298130035,0.04637914523482323,0.06721116602420807,0.0008902096888050437,0.0012973957927897573
2,250,0.002,0.043163661630107805,0.06961960066109896,0.07338560687807891,0.06149454601109028,0.04409043490886688,0.07131858915090561,0.0009380411356687546,0.0016203885897994041
2,300,0.0005,0.05156833234314735,0.11399560049176216,0.07511774765757415,0.06830231146886945,0.05245443433523178,0.11531911790370941,0.0008857830544002354,0.0013628463493660092
2,300,0.001,0.04465141992729444,0.05933602713048458,0.06257919823894134,0.0705005219206214,0.045872874557971954,0.060998257249593735,0.001204941188916564,0.0017307349480688572
2,300,0.0015,0.05023310577067045,0.06235394882969558,0.06937432761948842,0.04875950398854911,0.052743129432201385,0.06467778980731964,0.002443255390971899,0.0027079214341938496
2,300,0.002,0.051333921460004955,0.06704161455854774,0.12468766134518844,0.12469415133818984,0.054301660507917404,0.06990507245063782,0.002985018538311124,0.003402799367904663
