correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,evolution_epoch,max_fitness,average_loss_train_neat_ncl,average_loss_test_neat_ncl,average_loss_train_static_ncl,average_loss_test_static_ncl,average_loss_train_traditional,average_loss_test_traditional,average_loss_train_mlp,average_loss_test_mlp,diversity_coefficient_train_neat_ncl,diversity_coefficient_test_neat_ncl,diversity_coefficient_train_static_ncl,diversity_coefficient_test_static_ncl,diversity_coefficient_train_traditional,diversity_coefficient_test_traditional
0.0,2,100,0.001,110,10.0,194.91537221272787,175.72036743164062,9.923620780309042,10.021278381347656,9.408894300460815,7.9976441860198975,10.586060841878256,8.195984125137329,184.7966766357422,184.7966766357422,0.27385029196739197,0.21317945420742035,0.4693465232849121,0.5174528360366821
0.0,2,100,0.001,110,30.0,116.63443120320638,107.03112411499023,7.892340501149495,9.546989440917969,9.199534257253012,8.829607725143433,8.652945677439371,7.757001876831055,134.4342803955078,134.434814453125,0.4745941460132599,0.5065770745277405,0.22313722968101501,0.24018706381320953
0.0,2,100,0.001,110,50.0,372.0637919108073,343.37916564941406,7.340621471405029,7.955188989639282,8.610810399055481,12.445969581604004,8.448974847793579,10.810038566589355,38.73994827270508,38.73994445800781,0.4379693567752838,0.38220906257629395,0.7307983636856079,0.6513991951942444
0.0,2,100,0.001,140,10.0,232.88802337646484,208.25716400146484,8.239963134129843,7.238932132720947,7.593775550524394,7.7109198570251465,12.255023082097372,12.025279998779297,87.64824676513672,87.64822387695312,1.3699301481246948,1.0379326343536377,0.4046154320240021,0.31108635663986206
0.0,2,100,0.001,140,30.0,426.11005147298175,422.6237030029297,8.391892830530802,11.178767919540405,8.106417973836264,8.882798671722412,7.953779538472493,8.133288621902466,12.158317565917969,12.158315658569336,0.7172166109085083,0.6319865584373474,1.749509572982788,1.6808042526245117
0.0,2,100,0.001,140,50.0,515.0440673828125,487.41270446777344,7.66508944829305,7.6087806224823,7.873677730560303,9.14837646484375,9.081586758295694,8.6931734085083,0.0,0.0,0.45670533180236816,0.472652792930603,0.701804518699646,0.6827360987663269
0.0,2,100,0.001,170,10.0,493.95851643880206,474.04554748535156,7.634578506151835,6.671640396118164,9.75882887840271,9.42620849609375,8.89258329073588,9.392263412475586,0.3279542624950409,0.3279542624950409,0.5042081475257874,0.44390398263931274,0.2817716896533966,0.22553157806396484
0.0,2,100,0.001,170,30.0,364.701166788737,354.7430114746094,8.010712822278341,9.19668197631836,6.363572597503662,8.819431781768799,10.722982088724772,8.546472311019897,29.230852127075195,29.230857849121094,0.5621716976165771,0.5981040000915527,0.5222122669219971,0.48926877975463867
0.0,2,100,0.001,170,50.0,335.13344319661456,289.7239303588867,8.02504046758016,8.317863941192627,8.208970069885254,9.180661678314209,9.324362516403198,11.233578205108643,64.37621307373047,64.376220703125,0.5934674739837646,0.49851053953170776,0.2733542323112488,0.25821706652641296
0.0,4,100,0.001,110,10.0,221.600217183431,212.60169982910156,8.120654185612997,9.984680652618408,8.183470328648886,8.116018056869507,9.56845760345459,8.379642724990845,128.55831909179688,128.5583038330078,0.47631800174713135,0.42807435989379883,0.24683812260627747,0.2069612741470337
