correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,average_loss_train_static_ncl,average_loss_test_static_ncl,average_loss_train_traditional,average_loss_test_traditional,average_loss_train_mlp,average_loss_test_mlp,diversity_coefficient_train_static_ncl,diversity_coefficient_test_static_ncl,diversity_coefficient_train_traditional,diversity_coefficient_test_traditional
0.0,2,500,0.001,[2],0.09909185171127319,0.11765324464067817,0.0910186417400837,0.10295785078778863,0.11274859756231308,0.18574165180325508,0.004672839306294918,0.007031070999801159,0.0025000961031764746,0.0029526345897465944
0.0,2,500,0.001,"[2, 2]",0.09365527108311653,0.12518759444355965,0.07415238991379738,0.12572079338133335,0.1674363486468792,0.2507680021226406,0.0027926424518227577,0.004038000013679266,0.0014240877935662866,0.0028578774072229862
0.0,2,500,0.001,"[2, 2, 2]",0.1368746105581522,0.2063668668270111,0.10160724520683288,0.13082965090870857,0.1517447404563427,0.19705652631819248,0.0019341182196512818,0.0035519511438906193,0.04176431521773338,0.03784472867846489
0.0,2,500,0.001,"[2, 2, 2, 2]",0.123072225227952,0.17800965905189514,0.15063792765140532,0.22009360417723656,0.11999543979763985,0.15635480172932148,0.0036506338510662317,0.00457029091194272,0.0019413743866607547,0.00417181383818388
0.0,4,500,0.001,[2],0.08217845372855663,0.14734690450131893,0.08275694474577903,0.11587095819413662,0.09484763122163713,0.0909130647778511,0.004784797318279743,0.006751263979822397,0.00539011275395751,0.007219491992145777
0.0,4,500,0.001,"[2, 2]",0.10764759704470635,0.12870411621406674,0.10245991945266723,0.16727212257683277,0.1601048544049263,0.20725155249238014,0.008242616429924965,0.00897801760584116,0.021282099187374115,0.021509161219000816
0.0,4,500,0.001,"[2, 2, 2]",0.12316944524645805,0.21675584837794304,0.10120361857116222,0.13192720711231232,0.09112054146826268,0.14582397043704987,0.009188199415802956,0.008855688385665417,0.036132365465164185,0.03266502916812897
0.0,4,500,0.001,"[2, 2, 2, 2]",0.12334214374423028,0.18412074074149132,0.1034308809787035,0.14298488572239876,0.15112186968326569,0.2341833859682083,0.007468990981578827,0.010229229927062988,0.012027283199131489,0.013972551561892033
0.0,6,500,0.001,[2],0.08441928159445525,0.1054943585768342,0.08033915460109711,0.12071170005947351,0.08943249247968196,0.10985489003360271,0.0032057783100754023,0.004713406786322594,0.005377184133976698,0.007492418400943279
0.0,6,500,0.001,"[2, 2]",0.1010483916848898,0.14472893811762333,0.10221220552921295,0.17958622612059116,0.15736376643180847,0.29345689341425896,0.011782553978264332,0.01312269177287817,0.008674703538417816,0.010235552676022053
0.0,6,500,0.001,"[2, 2, 2]",0.12153885811567307,0.18629213981330395,0.11057761609554291,0.152310810983181,0.09180973879992962,0.3229340389370918,0.02093382179737091,0.02121192403137684,0.007116997614502907,0.009920964017510414
0.0,6,500,0.001,"[2, 2, 2, 2]",0.11427110061049461,0.15902014821767807,0.1148166824132204,0.15222171507775784,0.13909817785024642,0.19773280806839466,0.00675595086067915,0.008436364121735096,0.007545899134129286,0.011015665717422962
0.0,8,500,0.001,[2],0.10172935649752617,0.16858149506151676,0.08141040876507759,0.10298820957541466,0.153311063349247,0.21484298259019852,0.0053380317986011505,0.007611188106238842,0.004358700942248106,0.006716844625771046
0.0,8,500,0.001,"[2, 2]",0.100576251745224,0.1782696396112442,0.11111331097781658,0.1720656231045723,0.11147970147430897,0.09371251799166203,0.018084172159433365,0.019472554326057434,0.009978064335882664,0.011779592372477055
0.0,8,500,0.001,"[2, 2, 2]",0.1139508530497551,0.13685509748756886,0.11281804516911506,0.17672418802976608,0.1583087608218193,0.1959163099527359,0.006595306564122438,0.009144079871475697,0.0071502747014164925,0.009696988388895988
0.0,8,500,0.001,"[2, 2, 2, 2]",0.1178569469600916,0.19813068583607674,0.12821661233901976,0.191456014290452,0.15079910382628442,0.24127201363444328,0.0055070663802325726,0.008247051388025284,0.006023935973644257,0.0067923045717179775
0.0,10,500,0.001,[2],0.10846850797533988,0.12593407358508557,0.09001808539032936,0.10600862698629498,0.15558262765407563,0.19268479570746422,0.00470757344737649,0.005614130292087793,0.004710449371486902,0.007175736594945192
0.0,10,500,0.001,"[2, 2]",0.10926255956292152,0.18372207693755627,0.10404811352491379,0.22088437899947166,0.11147238984704018,0.11149122379720211,0.008217097260057926,0.00959269143640995,0.015034003183245659,0.01708322763442993
0.0,10,500,0.001,"[2, 2, 2]",0.11699494644999504,0.17169888317584991,0.11502596661448479,0.18341602757573128,0.09275558069348336,0.07831179071217775,0.010375182144343853,0.011079302057623863,0.006947333458811045,0.009440377354621887
0.0,10,500,0.001,"[2, 2, 2, 2]",0.13425502479076384,0.20828517526388168,0.1113248135894537,0.1567590907216072,0.10586056876927614,0.06888790987432003,0.0053254831582307816,0.0060363574884831905,0.027146577835083008,0.02777136117219925
0.0,12,500,0.001,[2],0.09273110814392567,0.1261072177439928,0.09116147309541703,0.13238676264882088,0.09310262277722359,0.08769222348928452,0.004726190119981766,0.006061141844838858,0.004900459200143814,0.007049180567264557
0.0,12,500,0.001,"[2, 2]",0.11624861098825931,0.16422747634351254,0.11253176108002663,0.14911395125091076,0.09097882937639952,0.3040079437196255,0.007733309641480446,0.009262030012905598,0.006665223278105259,0.00930652767419815
0.0,12,500,0.001,"[2, 2, 2]",0.11440489813685417,0.19215302355587482,0.09663643650710582,0.1475531980395317,0.09821005426347255,0.4079957827925682,0.02119399607181549,0.02126210555434227,0.009560775011777878,0.012586683966219425
0.0,12,500,0.001,"[2, 2, 2, 2]",0.13011294268071652,0.20990251749753952,0.15161943957209587,0.20740695111453533,0.10945736914873123,0.13427983038127422,0.01224240381270647,0.012765888124704361,0.00339393294416368,0.004808301571756601
0.0,14,500,0.001,[2],0.08752360604703427,0.11075568106025457,0.08757489584386349,0.11345841363072395,0.08185053803026676,0.06966726947575808,0.004038619808852673,0.005813705734908581,0.003904870245605707,0.005652205552905798
0.0,14,500,0.001,"[2, 2]",0.1139331679791212,0.1846567839384079,0.09423211142420769,0.11790694575756788,0.12012094110250474,0.14397580362856388,0.013955679722130299,0.015100657939910889,0.015006037428975105,0.017085429280996323
0.0,14,500,0.001,"[2, 2, 2]",0.13055374324321747,0.23367225751280785,0.12494916841387749,0.14550512377172709,0.14940038174390793,0.2001404445618391,0.0049198768101632595,0.006571038160473108,0.011516446247696877,0.012783119454979897
0.0,14,500,0.001,"[2, 2, 2, 2]",0.12112444117665291,0.23084652423858643,0.10145315937697888,0.131878518499434,0.1522997573018074,0.1940956562757492,0.006808307487517595,0.008405851200222969,0.009593995288014412,0.011910730972886086
0.0,16,500,0.001,[2],0.09785121120512486,0.12001409102231264,0.08592895939946174,0.11132264416664839,0.1554543673992157,0.21332332864403725,0.005444447975605726,0.00717782462015748,0.005328957922756672,0.0076907044276595116
0.0,16,500,0.001,"[2, 2]",0.10434639230370521,0.1610722504556179,0.09743525944650173,0.13254654966294765,0.1537747636437416,0.2998200096189976,0.027208656072616577,0.0276851374655962,0.007302602753043175,0.009527628310024738
0.0,16,500,0.001,"[2, 2, 2]",0.1134159442037344,0.1707434132695198,0.11939524710178376,0.17444900795817375,0.10367900095880031,0.09490516874939203,0.007142141927033663,0.008493655361235142,0.019053993746638298,0.019447673112154007
0.0,16,500,0.001,"[2, 2, 2, 2]",0.12263850644230842,0.15682977437973022,0.13543290197849273,0.1792700421065092,0.15769677311182023,0.207037765532732,0.006325797643512487,0.00844782218337059,0.015905369073152542,0.015404049307107925
0.1,2,500,0.001,[2],0.09811872132122516,0.1333775743842125,0.08326013535261154,0.09352718852460384,0.13939453326165677,0.13950775377452374,0.0057893251068890095,0.00815889798104763,0.0026203219313174486,0.002976752119138837
0.1,2,500,0.001,"[2, 2]",0.07647925950586795,0.10964565351605415,0.08059688303619623,0.09701798157766461,0.15779984891414642,0.2061980441212654,0.0022815600968897343,0.0027532808016985655,0.0017507270677015185,0.0018715416081249714
0.1,2,500,0.001,"[2, 2, 2]",0.1368021287024021,0.22911671549081802,0.11817201524972916,0.18820291757583618,0.1278559572994709,0.13027553912252188,0.002358830301091075,0.004713849630206823,0.007154312916100025,0.00986366719007492
0.1,2,500,0.001,"[2, 2, 2, 2]",0.09378102123737335,0.15690551698207855,0.16600622460246087,0.2532642148435116,0.12121561840176583,0.1977182012051344,0.010183341801166534,0.013293588533997536,0.07383856177330017,0.06511761248111725
0.1,4,500,0.001,[2],0.08459832929074765,0.12381516024470329,0.08918592594563961,0.11783232353627682,0.10925320163369179,0.10452679544687271,0.00560486875474453,0.007877840660512447,0.003404776332899928,0.005519215948879719
0.1,4,500,0.001,"[2, 2]",0.10053020380437375,0.12508102599531412,0.10137185715138912,0.13454605266451836,0.15627751797437667,0.20278656110167503,0.005885522812604904,0.007752686273306608,0.005486235488206148,0.007435191888362169
0.1,4,500,0.001,"[2, 2, 2]",0.12936091050505638,0.17434760183095932,0.12973874658346177,0.20724083855748177,0.15164971798658372,0.2366865761578083,0.04011557623744011,0.03897806257009506,0.0038095631171017885,0.005052133928984404
0.1,4,500,0.001,"[2, 2, 2, 2]",0.11977909877896309,0.19693085551261902,0.13132522702217103,0.19259778037667274,0.15176366418600082,0.20407406613230705,0.005375191103667021,0.005897242575883865,0.005481974687427282,0.006593373604118824
0.1,6,500,0.001,[2],0.09828100875020027,0.14508850499987602,0.08395757339894772,0.11467941664159298,0.1514990858733654,0.20316671207547188,0.0060508339665830135,0.007571832276880741,0.004587085917592049,0.006441629026085138
0.1,6,500,0.001,"[2, 2]",0.11506522372364998,0.14845646172761917,0.09346618801355362,0.11710209865123034,0.07738019935786725,0.09504870884120464,0.005431491881608963,0.008717038668692112,0.00757192075252533,0.010677981190383434
0.1,6,500,0.001,"[2, 2, 2]",0.12575094327330588,0.17347810044884682,0.11466937027871608,0.16263893991708755,0.15436590388417243,0.18737413175404072,0.006567273288965225,0.006909586023539305,0.007630165666341782,0.010170644149184227
0.1,6,500,0.001,"[2, 2, 2, 2]",0.13324961364269255,0.16464976407587528,0.128050696849823,0.15776811633259058,0.15306613519787787,0.23475542291998863,0.005674282088875771,0.0075232041999697685,0.026411421597003937,0.024513298645615578
0.1,8,500,0.001,[2],0.10184621959924697,0.14072403497993946,0.09166874587535859,0.13068639300763607,0.1291636537760496,0.12940162792801857,0.007110716309398413,0.008854345418512821,0.005655416753143072,0.007582554593682289
0.1,8,500,0.001,"[2, 2]",0.08864020630717277,0.11860618088394403,0.09320720843970776,0.11361280735582113,0.09343301057815552,0.10445086471736431,0.00919064786285162,0.011022765189409256,0.006455019116401672,0.008559951558709145
0.1,8,500,0.001,"[2, 2, 2]",0.12298897132277489,0.1646705660969019,0.1347394846379757,0.23145567625761032,0.12331194505095482,0.13983501307666302,0.005670830141752958,0.007308632135391235,0.017018146812915802,0.01779017224907875
0.1,8,500,0.001,"[2, 2, 2, 2]",0.13057928383350373,0.18354499712586403,0.11683942675590515,0.1516361217945814,0.15604758262634277,0.18577891029417515,0.004739138763397932,0.0068014697171747684,0.006393912248313427,0.00852606724947691
0.1,10,500,0.001,[2],0.09977054633200169,0.12106000073254108,0.078575998544693,0.11786812357604504,0.12193406596779824,0.13183365017175674,0.005586191546171904,0.008385682478547096,0.004564788658171892,0.006415299139916897
0.1,10,500,0.001,"[2, 2]",0.09918286819010973,0.17981434799730778,0.09571850411593914,0.17145316489040852,0.10361283645033836,0.09435761673375964,0.006685727275907993,0.008671454153954983,0.020610611885786057,0.020749973133206367
0.1,10,500,0.001,"[2, 2, 2]",0.11252550035715103,0.15186834149062634,0.11983487270772457,0.20715473219752312,0.15512847155332565,0.236441221088171,0.011124515905976295,0.012574049644172192,0.00548511603847146,0.007228958420455456
0.1,10,500,0.001,"[2, 2, 2, 2]",0.1322384297847748,0.1914597973227501,0.14119674526154996,0.2274555191397667,0.12973326668143273,0.12885660864412785,0.0045851608738303185,0.005320156458765268,0.0038406888488680124,0.005814600270241499
0.1,12,500,0.001,[2],0.09425866790115833,0.11957606486976147,0.09604262597858906,0.1280360370874405,0.08919968605041503,0.08292576298117638,0.006402149796485901,0.009486882947385311,0.005358251743018627,0.007018764037638903
0.1,12,500,0.001,"[2, 2]",0.09358284026384353,0.1463721264153719,0.12078499421477318,0.17812187038362026,0.14960447400808335,0.2502526454627514,0.01325538195669651,0.01569965109229088,0.012130669318139553,0.013541040010750294
0.1,12,500,0.001,"[2, 2, 2]",0.12536457404494286,0.15628594905138016,0.11683357618749142,0.141593630425632,0.09955012202262878,0.13168841786682606,0.006026343442499638,0.00734689412638545,0.03388471528887749,0.031654853373765945
0.1,12,500,0.001,"[2, 2, 2, 2]",0.11604248359799385,0.18567148596048355,0.14584018737077714,0.29822391644120216,0.1501595951616764,0.2140042670071125,0.009052366018295288,0.011264312081038952,0.011419625952839851,0.010458247736096382
0.1,14,500,0.001,[2],0.09760724231600762,0.1485714688897133,0.0870178934186697,0.15140274912118912,0.08622420839965343,0.15677498281002045,0.004963843151926994,0.0069256131537258625,0.004658305551856756,0.006840313784778118
0.1,14,500,0.001,"[2, 2]",0.10475644022226334,0.12869945913553238,0.10009086318314075,0.14274361729621887,0.1339745804667473,0.16269153729081154,0.010283769108355045,0.011096153408288956,0.01774127408862114,0.019242387264966965
0.1,14,500,0.001,"[2, 2, 2]",0.10227587819099426,0.1292672185227275,0.09218805357813835,0.17109682224690914,0.1519458472728729,0.18460692977532744,0.009577298536896706,0.011996769346296787,0.0163517314940691,0.017451370134949684
0.1,14,500,0.001,"[2, 2, 2, 2]",0.12103775851428508,0.23016510158777237,0.1257338233292103,0.1740955300629139,0.14983186088502407,0.21183636412024498,0.007127056829631329,0.008346972055733204,0.020534519106149673,0.020174849778413773
0.1,16,500,0.001,[2],0.08193013332784176,0.11589916329830885,0.09432208146899938,0.11960339173674583,0.12270239479839802,0.12142864894121885,0.005213127471506596,0.00749064888805151,0.006131221540272236,0.008431772701442242
0.1,16,500,0.001,"[2, 2]",0.09957264252007007,0.19101453199982643,0.09782836139202118,0.14066934026777744,0.10866838470101356,0.07407238148152828,0.007011501118540764,0.00851161777973175,0.011151118203997612,0.012101254425942898
0.1,16,500,0.001,"[2, 2, 2]",0.11188653036952019,0.18566384725272655,0.10715946145355701,0.1500917263329029,0.11477473974227906,0.12209021672606468,0.028425462543964386,0.02896858938038349,0.008669888600707054,0.010792819783091545
0.1,16,500,0.001,"[2, 2, 2, 2]",0.13367508798837663,0.19867025688290596,0.12004169523715973,0.15780555456876755,0.1565808191895485,0.22157232835888863,0.01567191816866398,0.016541428864002228,0.008331242017447948,0.01044716127216816
0.2,2,500,0.001,[2],0.09825176820158958,0.12481035199016333,0.10248246379196643,0.15365054458379745,0.0986562829464674,0.08627686183899641,0.005780878476798534,0.007484981790184975,0.0054143634624779224,0.00763626117259264
0.2,2,500,0.001,"[2, 2]",0.12500317730009555,0.1428426462225616,0.10702783837914467,0.18470758385956287,0.15340297147631646,0.19275938533246517,0.004026407841593027,0.00818919762969017,0.030902693048119545,0.02931467443704605
0.2,2,500,0.001,"[2, 2, 2]",0.09452396295964718,0.14989365078508854,0.12173513360321522,0.20291312783956528,0.10806837938725948,0.20829706266522408,0.0067537687718868256,0.010358242318034172,0.006799510680139065,0.01013148296624422
0.2,2,500,0.001,"[2, 2, 2, 2]",0.06246213838458061,0.08667463529855013,0.12776268906891347,0.1811218112707138,0.15310492515563964,0.19714919105172157,0.02080543525516987,0.021022798493504524,0.007840321399271488,0.00996701605618
0.2,4,500,0.001,[2],0.08165295720100403,0.10278286505490541,0.09700287654995918,0.11853125598281622,0.09776254408061505,0.12139062397181988,0.003706805408000946,0.005799327045679092,0.006751127541065216,0.009654415771365166
