correlation_penalty_coefficient,ensemble_size,aggregator_type,architecture_index,architecture,loss_test
0.4,16,"nn",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}, {'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}], 'voter': 'nn'}",0.21194367110729218
0.4,16,"nn",1,"{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}",0.3366847038269043
0.5,8,"arithmetic_mean",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}, {'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.11268455535173416
0.5,8,"arithmetic_mean",1,"{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.09311800450086594
0.5,8,"median",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}, {'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}], 'voter': 'median'}",0.18193009495735168
0.5,8,"median",1,"{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}",0.12967011332511902
0.5,8,"nn",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}, {'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}], 'voter': 'nn'}",0.12662389874458313
0.5,8,"nn",1,"{'static_ncl': [{'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}, {'ensemble_size': 2, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'nn'}], 'voter': 'nn'}",0.07751306891441345
0.5,16,"arithmetic_mean",0,"{'static_ncl': [{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}, {'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.09910887479782104
0.5,16,"arithmetic_mean",1,"{'static_ncl': [{'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'ensemble_size': 4, 'model_configurations': {'input_size': 13, 'hidden_sizes': [6], 'activation_type': ReLU(), 'activations': None, 'output_size': 1, 'dropout_rate': 0.5, 'dropout_indices': [0]}, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.10249016433954239
