ensemble_size,aggregator_type,architecture_index,architecture,loss_test
200,"arithmetic_mean",0,"{'neat_ncl': [{'neat_ncl': [{'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}, {'neat_ncl': [{'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.34439876675605774
200,"arithmetic_mean",1,"{'neat_ncl': [{'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}, {'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'arithmetic_mean'}], 'voter': 'arithmetic_mean'}",0.38286858797073364
200,"median",0,"{'neat_ncl': [{'neat_ncl': [{'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}, {'neat_ncl': [{'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}], 'voter': 'median'}",0.2860206067562103
200,"median",1,"{'neat_ncl': [{'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}, {'config': <neat.config.Config object at 0x14bfe9847510>, 'model_repository_path': 'data/experiment/recursive/model', 'ensemble_voter': 'median'}], 'voter': 'median'}",0.2860206067562103
